n_estimators,max_depth,max_features,mean_acc,std_acc
200,,sqrt,0.8026631213021422,0.00555060519015194
200,,0.5,0.7853678104064953,0.008356194022485027
200,20.0,sqrt,0.8012667732892529,0.007107889502524726
200,20.0,0.5,0.784293003946113,0.01137586680587341
200,40.0,sqrt,0.8026631790191683,0.0053687158345978965
200,40.0,0.5,0.7855826331777089,0.00892300084762107
300,,sqrt,0.8033074741817312,0.007406901247223967
300,,0.5,0.7908464836767591,0.009131212612234412
300,20.0,sqrt,0.8049194530042001,0.006828653282347502
300,20.0,0.5,0.7892343317032121,0.011722444717840362
300,40.0,sqrt,0.8032000050790982,0.007563936342253159
300,40.0,0.5,0.7910613064479729,0.009358883704472343
